district,mandal,revenue_division
"Alluri Sitharama Raju district","Chintapalle mandal","Chinturu revenue division"
"Alluri Sitharama Raju district","Chintur mandal","Chinturu revenue division"
"Alluri Sitharama Raju district","Etapaka mandal","Chinturu revenue division"
"Alluri Sitharama Raju district","Kunavaram mandal","Chinturu revenue division"
"Alluri Sitharama Raju district","Vararamachandrapuram mandal","Chinturu revenue division"
"Alluri Sitharama Raju district","Ananthagiri mandal","Paderu revenue division"
"Alluri Sitharama Raju district","Araku Valley mandal","Paderu revenue division"
"Alluri Sitharama Raju district","Dumbriguda mandal","Paderu revenue division"
"Alluri Sitharama Raju district","G. Madugula mandal","Paderu revenue division"
"Alluri Sitharama Raju district","Gudem Kotha Veedhi mandal","Paderu revenue division"
"Alluri Sitharama Raju district","Hukumpeta mandal","Paderu revenue division"
"Alluri Sitharama Raju district","Koyyuru mandal","Paderu revenue division"
"Alluri Sitharama Raju district","Paderu mandal","Paderu revenue division"
"Alluri Sitharama Raju district","Peda Bayalu mandal","Paderu revenue division"
"Alluri Sitharama Raju district","Addateegala mandal","Rampachodavaram revenue division"
"Alluri Sitharama Raju district","Devipatnam mandal","Rampachodavaram revenue division"
"Alluri Sitharama Raju district","Gangavaram mandal","Rampachodavaram revenue division"
"Alluri Sitharama Raju district","Maredumilli mandal","Rampachodavaram revenue division"
"Alluri Sitharama Raju district","Munchingi Puttu mandal","Rampachodavaram revenue division"
"Alluri Sitharama Raju district","Rajavommangi mandal","Rampachodavaram revenue division"
"Alluri Sitharama Raju district","Rampachodavaram mandal","Rampachodavaram revenue division"
"Alluri Sitharama Raju district","Y. Ramavaram mandal","Rampachodavaram revenue division"
"Anakapalli district","Anakapalle mandal","Anakapalli revenue division"
"Anakapalli district","Bheemunipatnam mandal","Bheemunipatnam revenue division"
"Anakapalli district","Chodavaram mandal","Anakapalli revenue division"
"Anakapalli district","Devarapalle mandal","Anakapalli revenue division"
"Anakapalli district","Kasimkota mandal","Anakapalli revenue division"
"Anakapalli district","Kotauratla mandal","Narasipatnam revenue division"
"Anakapalli district","Makavarapalem mandal","Narasipatnam revenue division"
"Anakapalli district","Munagapaka mandal","Anakapalli revenue division"
"Anakapalli district","Nakkapalle mandal","Narasipatnam revenue division"
"Anakapalli district","Paravada mandal","Anakapalli revenue division"
"Anakapalli district","Rambilli mandal","Anakapalli revenue division"
"Anakapalli district","Ravikamatham mandal","Narasipatnam revenue division"
"Anakapalli district","Sabbavaram mandal","Anakapalli revenue division"
"Anakapalli district","Sankhavaram mandal","Anakapalli revenue division"
"Anakapalli district","Yelamanchili mandal","Anakapalli revenue division"
